tweet_id,user_username,text,retweet_count,like_count,created_at,cluster
1013408231849422848,sas_assion,"RT @harrowna ""Ist das #NetzDG jetzt verfassungswidrig oder nicht?"" fragt @sas_assion 

""Ja, aber die Frage ist, warum?"" antwortet Prof. Gostomzyk und zählt jetzt seit drei Minuten Gründe auf...
#soko18",4,0,2018-07-01T13:05:25.000Z,blue
1015537315148632064,nhaerting,"Ein Mann, der an den starken Staat glaubt, als Staatssekretär für #VDS und #NetzDG mit verantwortlich war und jetzt ausgerechnet Bundesdatenschutzbeauftragter werden möchte. Wahrlich kein Bürgerrechtler vom Format eines @Peter_Schaar. https://t.co/GuIupGfPSa",27,32,2018-07-07T10:05:38.000Z,blue
1015140457498730496,hwieduwilt,RT @TGRuediger #HassimNetz breitet sich weiter aus - wenig verwunderlich strafbares #hatespeech kann man nicht mit #netzdg im getrennten Internet begegnen. Hier muss #digitalepolizei in die Lage versetzt werden effektiv dagegen vor zu gehen #brokenweb https://t.co/NVa8B6qXt7 via @TOnline_News,28,0,2018-07-06T07:48:40.000Z,blue
1014502479462006784,hwieduwilt,"Ich habe mit dem Innenstaatssekretär Krings (CDU) über #Uploadfilter gesprochen. „Der Regelung liegt der gleiche Grundgedanke zugrunde wie im #NetzDG"", sagt er. Mehr dann morgen in der @FAZ_Wirtschaft.",7,7,2018-07-04T13:33:34.000Z,blue
1018472755036114945,Piratenpartei,"RT @echo_pbreyer Kommentar des SPD-Wahrheitsministers @HeikoMaas (aka Mr #vds #netzdg) zur #Sperrklausel für Europawahlen ab 2024: ""Jede Stimme zählt!"" https://t.co/q3l6q3S4lV",17,0,2018-07-15T12:30:01.000Z,blue
1017393068515975168,hwieduwilt,"@RAStadler @S0mbrero @ChristophKappes @maksumuto @TwitterDE Ja, es wird so seicht, wie die Kundenmehrheit es wünscht (auch ohne #NetzDG).",0,0,2018-07-12T12:59:44.000Z,blue
1017391202042368000,hwieduwilt,"@RAStadler @S0mbrero @ChristophKappes @maksumuto @TwitterDE Ich räume ein, dass sich diese Tendenz in der Rechtspolitik und Rechtsprechung abzeichnet, aber ich halte sie für falsch. Sie saugt den Staat mit hinein und dann bekommen wir #NetzDG und Pluralismus-Regulierung.",0,2,2018-07-12T12:52:19.000Z,blue
1022738882218156032,ReporterOG,"#Facebook, #Google &amp; #Twitter löschen ohne öffentliche Kontrolle legale Inhalte. Das wissen wir dank #NetzDG-Transparenzberichten. Wir kritisieren dieses digitale Hausrecht, da Plattformen nicht nur private Unternehmen sind. Sie sind Öffentlichkeit! https://t.co/GNixHRdifN",60,61,2018-07-27T07:02:05.000Z,blue
1022140477955555330,nhaerting,"RT @jmoenikes ""Während die Politik mit dem Netzwerkdurchsetzungsgesetz gerade Verleumdungen und Beleidigungen im Netz unterbinden wollte, hat sie mit der #DSVGO eine komfortable Schutzzone eben dafür eingerichtet."" https://t.co/eqczzOKOgi",5,0,2018-07-25T15:24:15.000Z,blue
1022803119321821184,hwieduwilt,"Unionsfraktion wirbt für Selbstregulierung und ""Prüfung von Inhalten durch ein fachkundiges, plural besetztes Gremium"" - da hat sie sich eingeschlichen, die Pluralismus-Forderung. #NetzDG https://t.co/dY5VTFrISY",1,0,2018-07-27T11:17:21.000Z,blue
1022799977985257473,hwieduwilt,"Gibt es nun Overblocking?

1. Overblocking wegen zu strenger rechtlicher Bewertung des StGB: derzeit unbekannt

2. Overblocking verschärfter Hausregeln, die über das Strafrecht hinausgehen: wohl sehr hoch

2. ist ein Problem, weil staatlich, u.a. durch #NetzDG provoziert.",7,19,2018-07-27T11:04:52.000Z,blue
1022797984164130816,ReporterOG,UPDATE #NetzDG: Auch Twitter hat nun Zahlen veröffentlicht. https://t.co/GNixHRdifN,12,6,2018-07-27T10:56:56.000Z,blue
1022790834805198848,netzpolitik_org,Facebook löscht vor allem nach eigenen Regeln statt nach dem NetzDG https://t.co/RI6UQspjWd,19,7,2018-07-27T10:28:32.000Z,blue
1022776393204162560,nhaerting,"RT @hwieduwilt Was eigentlich nicht überrascht. Der Meldeprozess nach #NetzDG erfordert Jurastudium. Es wurden aber ca. 60000 Inhalte wegen der Gemeinschaftsstandards gemeldet. 
Das zweite auch nicht: Volksverhetzung ist ein enger, komplizierter Tatbestand. Beleidigung etc nicht. https://t.co/DUNXpZLvU3",2,0,2018-07-27T09:31:09.000Z,blue
1022776042191249408,hwieduwilt,"RT @m_hoppenstedt Uuund noch mehr NetzDG-Minuspunkte:
- Populisten können sich leicht als Opfer von ‘Zensur’ stilisieren, weil Hintergründe von Löschungen nicht durch staatliche Institutionen entschieden (siehe von Storch, siehe Sellner)
Dazu diese Anleitung v @PatrickBeuth https://t.co/C9mB5n6THD",3,0,2018-07-27T09:29:45.000Z,blue
1022774923532623872,hwieduwilt,"Was eigentlich nicht überrascht. Der Meldeprozess nach #NetzDG erfordert Jurastudium. Es wurden aber ca. 60000 Inhalte wegen der Gemeinschaftsstandards gemeldet. 
Das zweite auch nicht: Volksverhetzung ist ein enger, komplizierter Tatbestand. Beleidigung etc nicht. https://t.co/DUNXpZLvU3",2,4,2018-07-27T09:25:18.000Z,blue
1022762278985314304,zeitonline,Wie stark wirkt das neue Gesetz gegen Hass im Netz? #Facebook und #Youtube haben eine erste Bilanz gezogen. #NetzDG https://t.co/IOJhB1tpGi,10,15,2018-07-27T08:35:03.000Z,blue
1022759838521221120,nhaerting,"RT @cmihr Für Internetkonzerne könnte die Debatte nun umkippen, schreibt @hwieduwilt anlässlich der ersten #NetzDG-Transparenzberichte von #Google, #Facebook &amp; #Twitter. @ReporterOG kritisiert, das Unternehmen zu viele legale Inhalte gelöscht haben. https://t.co/6TaHwBrx1S",11,0,2018-07-27T08:25:22.000Z,blue
1022755555100766209,hwieduwilt,"RT @cmihr Für Internetkonzerne könnte die Debatte nun umkippen, schreibt @hwieduwilt anlässlich der ersten #NetzDG-Transparenzberichte von #Google, #Facebook &amp; #Twitter. @ReporterOG kritisiert, das Unternehmen zu viele legale Inhalte gelöscht haben. https://t.co/6TaHwBrx1S",11,0,2018-07-27T08:08:20.000Z,blue
1022753804754853888,hwieduwilt,"@nicolasvzm Facebook hatte Veränderungen öffentlich verkündet. Und ja: Ich gehe fest davon aus, dass NetzDG (und der Vorlauf) sowie die EU-Überlegungen wesentlich dazu beigetragen haben.",0,1,2018-07-27T08:01:23.000Z,blue
1022752240824668160,hwieduwilt,"@joern_reinhardt Das NetzDG setzt einen Anreiz zum Viellöschen, wenn auch nicht im Einzelfall. Alles andere (Beschwerde-Compliance usw) ist pure Polit-PR, weil die Bußgelder sich nach Löschquoten richten (die nie gegengeprüft werden).",0,5,2018-07-27T07:55:10.000Z,blue
1022749727639650304,hwieduwilt,@joern_reinhardt Die NetzDG-Bußgelder sind kein Druck?,0,3,2018-07-27T07:45:11.000Z,blue
1022748708578967552,heiseonline,"Bilanz zum NetzDG: Google löscht mehr als Facebook, Twitter weit zurück https://t.co/6GziyulZiI #Netzwerkdurchsetzungsgesetz",5,6,2018-07-27T07:41:08.000Z,blue
1022746210527002624,hwieduwilt,"Antwort-Tweet für #NetzDG-Apologeten: Ja, Facebook löscht weit mehr wegen der Hausregeln als wegen des NetzDG. Aber der Druck des NetzDG hat dazu beigetragen, die Hausregeln zu verschärfen. Natürlich kann man diesen Zusammenhang leugnen. Man kann ja auch die Schwerkraft leugnen.",28,84,2018-07-27T07:31:12.000Z,blue
1022745176278806529,hwieduwilt,"RT @ReporterOG #Facebook, #Google &amp; #Twitter löschen ohne öffentliche Kontrolle legale Inhalte. Das wissen wir dank #NetzDG-Transparenzberichten. Wir kritisieren dieses digitale Hausrecht, da Plattformen nicht nur private Unternehmen sind. Sie sind Öffentlichkeit! https://t.co/GNixHRdifN",60,0,2018-07-27T07:27:06.000Z,blue
1022745035018776576,hwieduwilt,"Internetkonzerne löschen wegen politischen Drucks mehr als zuvor, aber niemand weiß, ob sie dabei neutral vorgehen. Das kommt davon, wenn der Staat den Druck erhöht. #meinungsfreiheit #netzdg",8,31,2018-07-27T07:26:32.000Z,blue
1022742635386208256,hwieduwilt,RT @Policy Der Twitter-Bericht zum Netzwerkdurchsetzungsgesetz (NetzDG): Januar - Juni 2018. Zum vollständigen Bericht geht’s hier https://t.co/Keu4hGiUBG,21,0,2018-07-27T07:17:00.000Z,blue
1022742447854678016,hwieduwilt,"RT @PatrickBeuth So, jetzt auch mit Twitters offiziellen Zahlen: https://t.co/nn2xQ0N6zR",5,0,2018-07-27T07:16:15.000Z,blue
1022845593192984576,sas_assion,RT @Telemedicus Erste Zahlen zum #NetzDG werfen Fragen auf https://t.co/2HPdmGgBCI,8,0,2018-07-27T14:06:07.000Z,blue
1022843020021051395,hwieduwilt,"So sah das von außen auch oft aus. Kaum eine Sperrung wegen #NetzDG. Vorteil des Blockens nach Hausregeln:

1. Nimmt den Regulierungsdruck
2. Weniger Diskussion mit Behörden und Juristen
3. Kann global umgesetzt und skaliert werden - NetzDG wirkt nur lokal https://t.co/9fjcBYZOrP",4,4,2018-07-27T13:55:54.000Z,blue
1022842322994835457,sas_assion,"@hwieduwilt Eigene Erfahrung: Habe mehrfach bei Twitter Inhalte gemeldet, denen ich als RA mit Chance von ca 80 % NetzDG-Verstoß prognostiziert hätte. Twitter hat durchweg die Beschwerden abgelehnt, teils aber kurz darauf wegen Verstoß gegen Hausregeln den Account gesperrt (mit Info an mich)",0,3,2018-07-27T13:53:07.000Z,blue
1022826740215889920,hwieduwilt,@thobi75 @nicolabeerfdp @Liberale_News @HeikoMaas Die Zahlen betreffen doch nur NetzDG. Sie müssen die Meldungen laut Transparenzbericht mit ins Bild setzen. Knapp 900 Beschwerden vs. 60000.,0,4,2018-07-27T12:51:12.000Z,blue
1022825435304996864,hwieduwilt,"RT @ReporterOG #Deutschland: Die #NetzDG-Transparenzberichte sind da. Wir gehen angesichts der neu veröffentlichten Zahlen von einem Overblocking legaler Inhalte bei @FB_Deutschland, @GoogleDE und @TwitterDE aus. #ToldYouSo https://t.co/tAkXopGfBA",14,0,2018-07-27T12:46:01.000Z,blue
1022811344033198080,ReporterOG,"#Deutschland: Die #NetzDG-Transparenzberichte sind da. Wir gehen angesichts der neu veröffentlichten Zahlen von einem Overblocking legaler Inhalte bei @FB_Deutschland, @GoogleDE und @TwitterDE aus. #ToldYouSo https://t.co/tAkXopGfBA",14,16,2018-07-27T11:50:01.000Z,blue
1023137779151265792,netzpolitik,RT @FantaAlexx Die großen sozialen Netzwerke mussten erstmals seit Wirksamwerden des NetzDG in Deutschland die Zahl der gelöschten rechtswidrigen Inhalte bekanntgeben. Dabei zeigt sich: Facebook handelt hauptsächlich nach den firmeneigenen Gemeinschaftsstandards: https://t.co/W6MZXv90g1 #netzdg,15,0,2018-07-28T09:27:10.000Z,blue
1022920697629351937,ReporterOG,"RT @cmihr Für die @tagesschau habe ich vorhin nochmal zwei Punkte formuliert, die die Bundesregierung aus Sicht von @ReporterOG am #NetzDG, ändern muss - nachdem wir heute erfahren haben, dass #Facebook, #Google und #Twitter viele legale Inhalte löschen. 
https://t.co/a5H7eRYRx3",16,0,2018-07-27T19:04:33.000Z,blue
1022914790287704065,ReporterOG,"@travellmax @travellmax Da hast du aber gleich zwei Sachen durcheinander gebracht: 1. finanzieren wir uns hauptsächlich über Spenden (ein Soros ist nicht darunter); 2. kritisierten wir das #NetzDG, eben weil es zu einem #Overblocking führt, also zu radikal ist.",0,0,2018-07-27T18:41:05.000Z,blue
1023868811064365056,markscott82,"8) but, as report acknowledges, the internet is global, so any UK rules will quickly fall afoul of that. And the German “NetzDG” rules are overly dogmatic and fit that domestic situation — is: hard to replicate elsewhere",0,0,2018-07-30T09:52:01.000Z,blue
1024299737388863492,hwieduwilt,"Solche Fälle gibt es auch umgekehrt. Die knetgummiartigen Gemeinschaftsstandards machen es möglich. Das ist der machtvolle Hebel, den ich FB ja lieber nicht in die Hand gedrückt hätte. #NetzDG https://t.co/ej36GDIs3d",7,12,2018-07-31T14:24:22.000Z,blue
1024214652765589504,golem,NetzDG-Kritiker: Erste Löschberichte bestätigen Gefahr von Overblocking #netzdg https://t.co/tobQxniqeq,7,8,2018-07-31T08:46:16.000Z,blue
1029255649853681664,sas_assion,RT @Arnd_Haller German Journalist Association DJV warns the EC not to use #NetzDG as a blueprint for media regulation as can create #overblocking and #censorship. https://t.co/M4OL5YM9Ik,12,0,2018-08-14T06:37:24.000Z,blue
1028942438625411072,hwieduwilt,"""Der Regelung liegt der gleiche Grundgedanke zugrunde wie im #NetzDG"", hatte @guenterkrings kürzlich unmissverständlich in der @FAZ_Wirtschaft mit Blick auf die strukturgleichen #Uploadfilter im Urheberrecht gesagt. https://t.co/oNNDaPacZ9",3,2,2018-08-13T09:52:48.000Z,blue
1031897171824599045,hwieduwilt,"Vor drei Jahren warf ich Heiko Maas vor, er wolle mit dem #NetzDG nur eine Schneise schlagen, um Facebook &amp; Co. dem Rundfunk zu unterwerfen. Genau das sieht der Entwurf eines Medienstaatsvertrags jetzt vor. 
Der Leviathan macht die Arme breit.

https://t.co/nWO30WW6mq",88,194,2018-08-21T13:33:52.000Z,blue
1030363609451425793,Piratenpartei,"RT @PiratenBW Unser Spitzenkandidat zur Europawahl Patrick Breyer @echo_pbreyer hat ein Interview gegeben. #NetzDG #Uploadfilter #Uploadfilters #VDS

https://t.co/NugmTNZdTa",42,0,2018-08-17T08:00:02.000Z,blue
1033625094298324992,Piratenpartei,"Da sind wir wieder mit den #Piraten-Leseempfehlungen zur Sonntagslektüre.
Teil 1: Ein Beitrag von @echo_pbreyer: ""Leserkommentare im Netz: Keine Kapitulation vor Missbrauch der Meinungsfreiheit!""
https://t.co/GivxvRuqtz
#NetzDG #FAZ https://t.co/RBsIzbtoed",12,7,2018-08-26T08:00:00.000Z,blue
1034902261779124226,sas_assion,"@MafiGudarzi Ich finde den Punkt hier aber ohnehin neben der Sache. Mein Kritikpunkt war, dass einige Spitzenpolitiker oder, wie hier, der Direktor einer Landesmedienanstalt das NetzDG mit einem Ziel rechtfertigen, das es offensichtlich aus verfassungsrechtlichen Gründen nicht haben darf.",0,0,2018-08-29T20:35:01.000Z,blue
