tweet_id,user_username,text,source,conversation_id,author_id,created_at,in_reply_to_user_id,lang,possibly_sensitive,user_name,user_protected,user_verified,user_created_at,user_profile_image_url,user_description,user_url,user_pinned_tweet_id,user_location,retweet_count,like_count,quote_count,user_tweet_count,user_list_count,user_followers_count,user_following_count,sourcetweet_type,sourcetweet_id,sourcetweet_text,sourcetweet_lang,sourcetweet_author_id,cluster
1002558410162876416,handelsblatt,"RT @dneuerer #NetzDG wirkt - oder auch nicht. Union will #Gesetz nachbessern, #SPD bremst. https://t.co/0MsQKTYtEh #Facebook #Twitter #Hatespeech #Netzwerkdurchsetzungsgesetz",RoundTeam,1002558410162876416,5776022,2018-06-01T14:32:06.000Z,,de,False,Handelsblatt,False,True,2007-05-04T21:34:35.000Z,https://pbs.twimg.com/profile_images/1280410506914869249/HauFDfyf_normal.jpg,Deutschlands führende Wirtschafts- und Finanzzeitung. Substanz entscheidet. #Handelsblatt https://t.co/wMfsGGkYpX,https://t.co/9hsm53HbFJ,1.5884396500829798e+18,Düsseldorf,3,0,0,233418,4500,373254,694,retweeted,1.0025583853703946e+18,"#NetzDG wirkt - oder auch nicht. Union will #Gesetz nachbessern, #SPD bremst. https://t.co/0MsQKTYtEh #Facebook #Twitter #Hatespeech #Netzwerkdurchsetzungsgesetz",de,236077053.0,orange
1002511916181450753,Arnd_Diringer,"RT @Loeffel_Abrar Landgericht Frankfurt, 2-03 O 430/17 - #NetzDG und Messenger-Dienste https://t.co/NvSwaFzv8D @Arnd_Diringer @hwieduwilt https://t.co/5TksWrAVtq",Twitter Web Client,1002511916181450753,3467946681,2018-06-01T11:27:21.000Z,,de,False,Arnd Diringer,False,True,2015-08-28T11:39:24.000Z,https://pbs.twimg.com/profile_images/860813216930312192/MRlqIKSx_normal.jpg,"Prof. Dr. jur.
#TeamArbeitsrecht
Mitinitiator @efarbeitsrecht
Beirat @DerBVAU
Kolumnist @WELTAMSONNTAG/@welt
Imp.: https://t.co/ltTzaLNWkk",https://t.co/yFUTT1sgrO,1.5911243749247017e+18,,1,0,0,45570,168,23191,943,retweeted,1.0024992711349944e+18,"Landgericht Frankfurt, 2-03 O 430/17 - #NetzDG und Messenger-Dienste https://t.co/NvSwaFzv8D @Arnd_Diringer @hwieduwilt https://t.co/5TksWrAVtq",de,1070650592.0,orange
1002452042311487488,nicolabeerfdp,"Das ist falsch:Man kann beim Bundesamt für Justiz NUR melden,daß nicht gelöscht worden ist,eben NICHT,daß ZUVIEL gelöscht wurde. 
Auf diesen #Konstruktionsfehler hatten wir immer hingewiesen.
Meldeformular BfJ: https://t.co/ww6BUx0qma
@Liberale_News @loadev @jimmyschulz #NetzDG https://t.co/WOm6QGI3XY",Twitter Web Client,1002452042311487488,828623998921629696,2018-06-01T07:29:26.000Z,,de,False,Nicola Beer,False,True,2017-02-06T15:18:51.000Z,https://pbs.twimg.com/profile_images/1293861921570066433/lfFQPPOV_normal.jpg,Vizepräsidentin Europäisches Parlament | Stellv. Bundesvorsitzende @fdp | Kultusministerin a.D.| Staatssekretärin Europa a.D. | Retweet`endorsement TB=Team Beer,https://t.co/KnWqcdzN58,,"Frankfurt am Main, Brüssel",23,47,0,11679,374,19543,5074,,,,,,orange
1002439294106198016,handelsblatt,RT @dneuerer #NetzDG wirkt  Behörde registriert kaum Beschwerden über soziale Netzwerke. https://t.co/wg3ew5ZxGw #Facebook #Twitter #YouTube #HateSpeech,RoundTeam,1002439294106198016,5776022,2018-06-01T06:38:46.000Z,,de,False,Handelsblatt,False,True,2007-05-04T21:34:35.000Z,https://pbs.twimg.com/profile_images/1280410506914869249/HauFDfyf_normal.jpg,Deutschlands führende Wirtschafts- und Finanzzeitung. Substanz entscheidet. #Handelsblatt https://t.co/wMfsGGkYpX,https://t.co/9hsm53HbFJ,1.5884396500829798e+18,Düsseldorf,5,0,0,233418,4500,373254,694,retweeted,1.0024386565006828e+18,#NetzDG wirkt  Behörde registriert kaum Beschwerden über soziale Netzwerke. https://t.co/wg3ew5ZxGw #Facebook #Twitter #YouTube #HateSpeech,de,236077053.0,orange
1002438884884664320,handelsblatt,Soziale Netzwerke wie Facebook scheinen ihre Löschpflicht für strafbare Hasskommentare weitgehend zu erfüllen. Kritiker gibt es weiterhin. https://t.co/ieGZEbKn9n,Zapier.com,1002438884884664320,5776022,2018-06-01T06:37:09.000Z,,de,False,Handelsblatt,False,True,2007-05-04T21:34:35.000Z,https://pbs.twimg.com/profile_images/1280410506914869249/HauFDfyf_normal.jpg,Deutschlands führende Wirtschafts- und Finanzzeitung. Substanz entscheidet. #Handelsblatt https://t.co/wMfsGGkYpX,https://t.co/9hsm53HbFJ,1.5884396500829798e+18,Düsseldorf,0,0,0,233418,4500,373254,694,,,,,,orange
1002305999917735937,Arnd_Diringer,"RT @hwieduwilt Kluger Text über das entgrenzte Gerede von ""Hass"". 
(Mit dem Begriff haben manche Politiker ganze Kampagnen gefahren und Bußgeld-Gesetze begründet! Looking at you, #NetzDG!) https://t.co/yU5oMQx5mR",Twitter Web App,1002305999917735937,3467946681,2018-05-31T21:49:06.000Z,,de,False,Arnd Diringer,False,True,2015-08-28T11:39:24.000Z,https://pbs.twimg.com/profile_images/860813216930312192/MRlqIKSx_normal.jpg,"Prof. Dr. jur.
#TeamArbeitsrecht
Mitinitiator @efarbeitsrecht
Beirat @DerBVAU
Kolumnist @WELTAMSONNTAG/@welt
Imp.: https://t.co/ltTzaLNWkk",https://t.co/yFUTT1sgrO,1.5911243749247017e+18,,23,0,0,45570,168,23191,943,retweeted,1.0021350894997873e+18,"Kluger Text über das entgrenzte Gerede von ""Hass"". 
(Mit dem Begriff haben manche Politiker ganze Kampagnen gefahren und Bußgeld-Gesetze begründet! Looking at you, #NetzDG!) https://t.co/yU5oMQx5mR",de,32374947.0,orange
1001839859256963073,nicolabeerfdp,"RT @fdp #NetzDG: Volksverhetzung + Fake News müssen unterbunden werden. Es ist die Aufgabe von Polizei =nB &amp; Justiz =i–,  zu entscheiden, was Meinungsfreiheit/Kunstfreiheit ist. Wir haben deshalb beantragt, das NetzDG  abzuschaffen, so @nicolabeerfdp. =I https://t.co/frrbSVAbT4 https://t.co/hlS0YWakWt",Twitter Web Client,1001839859256963073,828623998921629696,2018-05-30T14:56:50.000Z,,de,False,Nicola Beer,False,True,2017-02-06T15:18:51.000Z,https://pbs.twimg.com/profile_images/1293861921570066433/lfFQPPOV_normal.jpg,Vizepräsidentin Europäisches Parlament | Stellv. Bundesvorsitzende @fdp | Kultusministerin a.D.| Staatssekretärin Europa a.D. | Retweet`endorsement TB=Team Beer,https://t.co/KnWqcdzN58,,"Frankfurt am Main, Brüssel",40,0,0,11679,374,19543,5074,retweeted,1.0018176175633408e+18,"#NetzDG: Volksverhetzung + Fake News müssen unterbunden werden. Es ist die Aufgabe von Polizei =nB &amp; Justiz =i–,  zu entscheiden, was Meinungsfreiheit/Kunstfreiheit ist. Wir haben deshalb beantragt, das NetzDG  abzuschaffen, so @nicolabeerfdp. =I https://t.co/frrbSVAbT4 https://t.co/hlS0YWakWt",de,39475170.0,orange
1001156678845390848,cLyppersen,@MenschHasser88 Kennst Du das #Netzwerkdurchsetzungsgesetz? It's big fun. Lies es zumindest mal an. =Ö=o=#LiebestattHass,Twitter for Android,1001119189367689218,953182921908801536,2018-05-28T17:42:07.000Z,7.934005122091827e+17,de,False,suka V. s1 sxhwebenheit (catso) <ú<æ <ê<ú Úâ >£,False,False,2018-01-16T08:31:32.000Z,https://pbs.twimg.com/profile_images/1591806711547023361/hrBEBdDS_normal.jpg,"übelste clankadse wesenheit, dr h.c. gelbe medehure  >À==ø sukerbuka & zemsurminister >Ñ• möckel kÜxhne CFO <} #FCSP #NAFO",,1.573243460789887e+18,susministerium gurkmenistan >,0,0,0,120779,35,7078,1878,,,,,,red
1001053307165605888,_donalphonso,"Aber so generell finde ich es natürlich prima, wenn die SPD Ärger mit dem Umfeld bekommt, das sie selbst so viele Jahre mit dem schmutzigen Kampf gegen jede abweichende Meinung innerhalb und ausserhalb der Partei hofiert hat. #NetzDG #yougetwhatyoupayfor",Twitter Web Client,1001041044820103169,99718385,2018-05-28T10:51:21.000Z,99718385.0,de,False,Don Alphonso,False,True,2009-12-27T14:35:15.000Z,https://pbs.twimg.com/profile_images/1063160272955826176/ScvvgxaR_normal.jpg,"Offizieller Steigbügelausrüster der apokalyptischen Reiter - und der Mann, vor dem Euch Eure grünen Bundestagsvizepräsidentinnen immer gewarnt haben.",https://t.co/y03g2p2yjU,1.1595607461471642e+18,"Tegernsee, Mantua, Donau",9,73,0,71909,407,76396,656,,,,,,orange
1002596639406686214,jimmyschulz,"Ich befürchte, dass Zahl der Beschwerden gegen #NetzDG so gering ist, weil sich Facebook im Zweifel fürs Löschen entschieden hat, statt Strafe zu riskieren. Sollte sich das bestätigen, wäre das weiterer Beleg, dass dieses Gesetz Mumpitz ist! https://t.co/9rXrjD14a6 https://t.co/VflETQKUrX",Buffer,1002596639406686214,18000943,2018-06-01T17:04:00.000Z,,de,False,jimmyschulz,False,True,2008-12-09T20:14:10.000Z,https://pbs.twimg.com/profile_images/1139604167339794432/4FsdXaCz_normal.jpg,"Vorsitzender #BTADA, MdB, Mitglied im Fraktionsvorstand @FDPBT, Präsidium ISOC DE, stellv. Vorsitzender @loadev",https://t.co/lJ89mijCQm,1.1396480558489108e+18,"München, Berlin, Berchtesgaden",12,19,0,6667,433,8800,1537,,,,,,orange
1005799696923807744,nicolabeerfdp,"F.A.Z. exklusiv: #FDP-Politiker klagen gegen das #Netzwerkdurchsetzungsgesetz https://t.co/z36fbAAMsK via @faznet #NetzDG
@Liberale_News @loadev @c_netz @fdp @fdpbt #Meinungsfreiheit #Zensur",Twitter for Android,1005799696923807744,828623998921629696,2018-06-10T13:11:49.000Z,,de,False,Nicola Beer,False,True,2017-02-06T15:18:51.000Z,https://pbs.twimg.com/profile_images/1293861921570066433/lfFQPPOV_normal.jpg,Vizepräsidentin Europäisches Parlament | Stellv. Bundesvorsitzende @fdp | Kultusministerin a.D.| Staatssekretärin Europa a.D. | Retweet`endorsement TB=Team Beer,https://t.co/KnWqcdzN58,,"Frankfurt am Main, Brüssel",31,87,6,11679,374,19543,5074,,,,,,orange
1005791436984504321,jimmyschulz,"RT @zeitonline Das #NetzDG fördere ""Selbstzensur im Kopf und Fremdzensur durch private Unternehmen"", finden @jimmyschulz und @ManuelHoeferlin und wollen dagegen klagen. https://t.co/vIn46STodL",Twitter for Android,1005791436984504321,18000943,2018-06-10T12:38:59.000Z,,de,False,jimmyschulz,False,True,2008-12-09T20:14:10.000Z,https://pbs.twimg.com/profile_images/1139604167339794432/4FsdXaCz_normal.jpg,"Vorsitzender #BTADA, MdB, Mitglied im Fraktionsvorstand @FDPBT, Präsidium ISOC DE, stellv. Vorsitzender @loadev",https://t.co/lJ89mijCQm,1.1396480558489108e+18,"München, Berlin, Berchtesgaden",16,0,0,6667,433,8800,1537,retweeted,1.0057762151044792e+18,"Das #NetzDG fördere ""Selbstzensur im Kopf und Fremdzensur durch private Unternehmen"", finden @jimmyschulz und @ManuelHoeferlin und wollen dagegen klagen. https://t.co/vIn46STodL",de,5715752.0,orange
1005753362053201920,jimmyschulz,"RT @FAZ_NET Zensur in ihrer schlimmsten Form, so nennt der #FDP-Bundestagsabgeordnete @ManuelHoeferlin das Netzwerkdurchsetzungsgesetz. Zusammen mit @jimmyschulz klagt er vor dem Verwaltungsgericht Köln gegen das #NetzDG. https://t.co/VMbBly2Xoe",Twitter for Android,1005753362053201920,18000943,2018-06-10T10:07:42.000Z,,de,False,jimmyschulz,False,True,2008-12-09T20:14:10.000Z,https://pbs.twimg.com/profile_images/1139604167339794432/4FsdXaCz_normal.jpg,"Vorsitzender #BTADA, MdB, Mitglied im Fraktionsvorstand @FDPBT, Präsidium ISOC DE, stellv. Vorsitzender @loadev",https://t.co/lJ89mijCQm,1.1396480558489108e+18,"München, Berlin, Berchtesgaden",86,0,0,6667,433,8800,1537,retweeted,1.0057528710805586e+18,"Zensur in ihrer schlimmsten Form, so nennt der #FDP-Bundestagsabgeordnete @ManuelHoeferlin das Netzwerkdurchsetzungsgesetz. Zusammen mit @jimmyschulz klagt er vor dem Verwaltungsgericht Köln gegen das #NetzDG. https://t.co/VMbBly2Xoe",de,18016521.0,orange
